@RELATION svmMusicGenre0
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {beat,speechEmotion}

@DATA
0.096418,0.027438,2.877607,0.200651,0.194766,0.794369,0.011664,0.190734,-25.035245,2.167572,0.094266,-0.155164,-0.040049,-0.075779,-0.364234,-0.428007,-0.390896,-0.133934,-0.176977,-0.184483,-0.020098,0.100800,0.001941,0.011334,0.008890,0.022004,0.023354,0.010247,0.002804,0.013561,0.007470,0.010416,0.002293,0.033456,0.094896,0.027821,0.456867,0.089329,0.024514,0.823222,0.010682,0.222146,2.025196,0.712867,0.602925,0.344235,0.339517,0.492737,0.256195,0.212700,0.226435,0.195825,0.185258,0.212534,0.231964,0.105896,0.002342,0.010137,0.007740,0.027459,0.028632,0.008205,0.004581,0.013181,0.006594,0.008372,0.002523,0.025121,100.000000,0.158570,beat
0.088928,0.056562,2.836169,0.181695,0.178933,0.700515,0.035309,0.146102,-27.932090,1.604550,0.436739,0.471032,0.185108,0.201902,0.119266,0.108687,0.066147,0.060193,0.044675,0.063393,0.027342,0.006481,0.001092,0.094789,0.003800,0.022974,0.002722,0.110392,0.000705,0.001678,0.006365,0.030508,0.001239,0.050049,0.067474,0.047619,0.445456,0.068686,0.035963,0.538317,0.057601,0.125349,3.856069,0.979087,0.452014,0.346254,0.270588,0.240869,0.222986,0.198444,0.171501,0.164076,0.159832,0.154512,0.152247,0.008978,0.001341,0.074535,0.005588,0.024812,0.003771,0.089237,0.000788,0.002094,0.008341,0.036167,0.001396,0.026482,120.000000,0.199108,beat
0.092601,0.020019,2.850916,0.212318,0.216277,0.675204,0.010855,0.131307,-28.165681,1.786861,0.357623,0.193207,0.126849,0.053842,-0.023953,-0.016739,-0.024577,-0.062833,-0.119223,-0.068783,0.043227,0.007999,0.000958,0.118408,0.015668,0.026691,0.002064,0.118455,0.001174,0.001859,0.003192,0.016811,0.002673,0.053375,0.065600,0.032960,0.413157,0.047984,0.019874,0.594044,0.015144,0.164268,3.149650,0.434954,0.360016,0.363323,0.277649,0.249867,0.314997,0.285033,0.214582,0.233206,0.233231,0.199010,0.181471,0.009878,0.001226,0.088176,0.019267,0.020886,0.002637,0.106552,0.001336,0.002465,0.003253,0.014156,0.003756,0.028802,171.428571,0.241264,beat
0.096822,0.055964,3.144635,0.177093,0.177607,0.934932,0.004793,0.165851,-22.220283,1.443612,0.551767,0.670561,0.113818,0.121743,0.167267,0.087759,0.020214,0.037678,-0.005474,0.003823,-0.019944,0.013526,0.002349,0.043574,0.008872,0.032140,0.004168,0.060529,0.001728,0.004442,0.011657,0.035980,0.002182,0.024190,0.033393,0.029465,0.099340,0.023861,0.014752,0.365829,0.003458,0.078041,0.575268,0.423087,0.377785,0.295495,0.257964,0.245155,0.227676,0.224799,0.203865,0.193488,0.179925,0.168869,0.161152,0.008818,0.001890,0.034644,0.006520,0.019029,0.003781,0.031896,0.001720,0.003750,0.010798,0.026010,0.001856,0.009535,200.000000,0.298465,beat
0.093951,0.105141,2.846824,0.178409,0.183741,0.671000,0.116158,0.158188,-28.566786,1.439363,0.328402,0.337553,0.088323,0.182395,0.075318,0.090226,0.048911,0.054633,0.012399,0.058998,0.008899,0.003818,0.000950,0.110794,0.006704,0.015905,0.004274,0.079914,0.000706,0.001707,0.006655,0.055913,0.000889,0.050235,0.101596,0.116129,0.674565,0.108801,0.068547,0.780182,0.220573,0.179522,8.016324,1.666188,0.610695,0.337501,0.282633,0.228429,0.280523,0.260245,0.175861,0.139946,0.127622,0.136109,0.155122,0.006263,0.001468,0.132812,0.015251,0.027809,0.009167,0.083711,0.001322,0.003184,0.012455,0.069538,0.001223,0.033804,120.000000,0.541420,beat
0.148728,0.009590,2.829616,0.244760,0.207970,1.087682,0.013388,0.257583,-29.191642,1.721814,0.158819,-0.174011,-0.401843,-0.243148,-0.244002,0.303356,-0.189046,-0.016690,-0.181592,0.051951,-0.254507,0.011786,0.005865,0.027845,0.015336,0.020842,0.020645,0.015623,0.003152,0.005543,0.015108,0.042083,0.008760,0.024431,0.117841,0.013991,0.315625,0.091568,0.026803,0.450020,0.006361,0.173837,2.113692,0.763647,0.643744,0.380514,0.309157,0.278331,0.356160,0.238174,0.311460,0.260470,0.314954,0.230506,0.285349,0.015766,0.005127,0.011243,0.022534,0.029825,0.027156,0.023141,0.007130,0.005816,0.011093,0.011513,0.006991,0.011801,171.428571,0.163636,speechEmotion
0.133761,0.015379,2.606147,0.247693,0.198779,1.265465,0.014554,0.281931,-27.783804,1.190951,0.123093,-0.416921,0.046881,-0.534226,-0.132689,0.185135,-0.090196,0.028523,-0.099111,-0.079832,-0.213048,0.019072,0.006186,0.019339,0.009034,0.007972,0.017097,0.034915,0.009421,0.006535,0.009402,0.023117,0.014407,0.022729,0.068694,0.015359,0.747161,0.082390,0.045685,0.533365,0.008789,0.182870,4.757176,1.165789,0.989887,0.759970,0.606625,0.416420,0.440273,0.272626,0.257879,0.217530,0.217956,0.315554,0.253501,0.022371,0.007113,0.019053,0.010224,0.011149,0.035497,0.054542,0.016460,0.006695,0.011701,0.027709,0.024176,0.014929,200.000000,0.235294,speechEmotion
0.131818,0.016164,2.870092,0.252009,0.209824,1.165183,0.014601,0.249597,-27.191953,1.283119,-0.402136,-0.388779,-0.053440,-0.273318,0.196680,-0.027190,-0.142220,-0.045819,-0.266652,-0.111416,-0.190982,0.018480,0.006452,0.024803,0.015433,0.014008,0.005286,0.021540,0.007554,0.006061,0.013095,0.020327,0.006565,0.018568,0.093845,0.024114,0.478443,0.089819,0.031045,0.623286,0.008775,0.180022,3.679976,1.192795,1.128304,0.785937,0.470620,0.327914,0.382258,0.296737,0.303964,0.343320,0.306522,0.335042,0.305480,0.026206,0.008230,0.024711,0.016714,0.020098,0.005937,0.032940,0.010221,0.007116,0.022038,0.027943,0.010146,0.012368,150.000000,0.148649,speechEmotion
0.126742,0.013673,2.821805,0.226000,0.207676,1.018180,0.020848,0.213214,-27.496837,1.238918,-0.175916,-0.474666,-0.538266,-0.254383,-0.429115,-0.088232,-0.232320,0.320029,0.063937,0.132185,-0.177209,0.009878,0.007717,0.014183,0.011632,0.013637,0.015548,0.036498,0.006395,0.018148,0.017940,0.018381,0.006564,0.023270,0.103171,0.021944,0.446485,0.074845,0.034024,0.593907,0.012605,0.178744,3.276389,1.041725,0.739472,0.551800,0.326201,0.326245,0.449619,0.449234,0.339131,0.410555,0.342712,0.431389,0.325930,0.015414,0.010840,0.021289,0.014310,0.019638,0.019234,0.050739,0.010779,0.027123,0.021677,0.026513,0.009036,0.013248,171.428571,0.203125,speechEmotion
0.196042,0.013765,2.661729,0.320931,0.225544,1.785645,0.009186,0.409562,-28.646456,0.266658,-0.276559,-0.014946,-0.337948,-0.001206,-0.286876,-0.011657,-0.258861,0.026589,-0.249648,0.139034,-0.000557,0.009832,0.003188,0.012582,0.006505,0.012936,0.011327,0.020759,0.003264,0.008371,0.008123,0.013526,0.012007,0.013288,0.102293,0.021941,0.653634,0.099283,0.026333,0.638220,0.005143,0.206030,4.933818,1.229035,1.279841,0.645727,0.525327,0.383118,0.478181,0.327330,0.407277,0.330766,0.490460,0.325811,0.396258,0.016378,0.002709,0.018838,0.006543,0.016321,0.013868,0.029456,0.003774,0.012596,0.008890,0.020753,0.017517,0.009133,109.090909,0.187500,speechEmotion
0.062696,0.024713,2.809664,0.174985,0.222420,0.373657,0.041377,0.092625,-28.741781,2.461646,0.444941,0.466028,0.170297,0.144320,0.091806,-0.023353,-0.017393,-0.058500,-0.045703,0.121649,-0.083346,0.006084,0.000766,0.023674,0.005677,0.006461,0.005183,0.138853,0.000831,0.002944,0.033695,0.056690,0.000821,0.052562,0.086130,0.026571,0.382724,0.091419,0.029145,0.603522,0.038298,0.170809,2.903533,0.681432,0.587176,0.440832,0.294071,0.202792,0.222760,0.205594,0.193107,0.234024,0.189873,0.208098,0.182000,0.008967,0.001133,0.023258,0.013122,0.008715,0.009074,0.120347,0.001327,0.004183,0.041877,0.051578,0.001463,0.026883,400.000000,0.118280,speechEmotion
0.126328,0.011833,2.783608,0.236250,0.217820,0.685584,0.028231,0.197397,-27.522816,2.364249,0.510738,0.158583,-0.137381,-0.037903,0.310163,0.136870,0.050252,-0.070498,-0.107349,0.161071,-0.128700,0.010414,0.003172,0.024660,0.007362,0.012850,0.005088,0.067980,0.000903,0.005009,0.034164,0.038008,0.004871,0.028468,0.153508,0.011560,0.407862,0.152951,0.031629,0.749562,0.036415,0.254893,2.885273,1.215368,0.581318,0.466311,0.389853,0.296855,0.302888,0.231643,0.231477,0.235746,0.276864,0.235533,0.207323,0.011830,0.004696,0.021599,0.008376,0.014561,0.007230,0.068853,0.001601,0.008428,0.035319,0.037026,0.007394,0.017221,200.000000,0.099010,speechEmotion
0.105507,0.028512,2.771505,0.215133,0.228218,0.638676,0.019455,0.159292,-26.745403,2.350957,0.996362,0.389003,0.013826,0.052523,0.138568,0.155715,0.003523,0.165956,-0.119242,0.200151,-0.007569,0.012129,0.001434,0.098717,0.009003,0.025403,0.005385,0.055563,0.000699,0.003405,0.006752,0.050482,0.001519,0.039195,0.119916,0.029902,0.438981,0.119363,0.041670,0.745074,0.014908,0.221498,2.916250,0.923743,0.672587,0.381497,0.461057,0.285569,0.262018,0.227732,0.202730,0.220180,0.136251,0.133216,0.179887,0.012721,0.001776,0.070829,0.011354,0.024560,0.006151,0.055648,0.000933,0.004284,0.006278,0.037347,0.001982,0.016358,171.428571,0.158730,speechEmotion
