@RELATION svmTutorialGenre0
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {BG-Noise,High-Volume,Low-Volume,Normal-Volume}

@DATA
0.059005,0.003073,2.961983,0.142554,0.150212,0.531660,0.012872,0.093848,-32.683523,1.495410,0.384331,-0.230640,-0.013107,-0.107478,0.003355,-0.024612,0.071943,0.006078,0.068179,0.020012,-0.011052,0.006852,0.003418,0.017044,0.004985,0.069854,0.005351,0.036268,0.001646,0.007574,0.009660,0.009431,0.004678,0.028986,0.060605,0.005719,0.294184,0.047441,0.024559,0.483247,0.012370,0.101560,2.848333,0.825613,0.675238,0.546058,0.355510,0.358388,0.296782,0.271338,0.268136,0.250496,0.288259,0.267761,0.246300,0.011364,0.006569,0.019892,0.009186,0.045874,0.010104,0.040362,0.003390,0.014333,0.016287,0.014424,0.009345,0.013111,240.000000,0.098259,BG-Noise
0.078933,0.003242,2.873683,0.154799,0.151901,0.719941,0.010465,0.124105,-30.712184,1.434235,0.315451,-0.256575,-0.010310,-0.070616,-0.011823,-0.014325,0.086846,-0.013888,0.038840,-0.005647,0.007862,0.008399,0.004739,0.048252,0.006023,0.018010,0.006732,0.099283,0.001985,0.007896,0.010806,0.014256,0.005979,0.036607,0.058087,0.004953,0.376645,0.045121,0.026509,0.481302,0.008247,0.102921,2.749492,0.828076,0.688574,0.547253,0.347126,0.365807,0.309527,0.291498,0.281536,0.273691,0.282696,0.274335,0.253084,0.013148,0.008926,0.048702,0.009283,0.020903,0.011359,0.089964,0.003498,0.013601,0.015967,0.017022,0.010654,0.023158,200.000000,0.102887,BG-Noise
0.016387,0.009547,3.184470,0.098800,0.145475,0.175347,0.014704,0.027825,-34.183455,1.458936,0.244022,0.048564,0.100001,0.051815,0.040033,0.026253,0.068280,0.031435,0.045348,0.032912,0.034782,0.002346,0.001458,0.006675,0.002296,0.134604,0.002355,0.012550,0.000661,0.002251,0.003020,0.002917,0.002038,0.039881,0.019520,0.016495,0.168825,0.026970,0.017211,0.197612,0.024026,0.037341,1.823696,0.480756,0.415858,0.363535,0.255725,0.260636,0.224910,0.211505,0.208375,0.219745,0.214456,0.204866,0.192857,0.004619,0.003098,0.011305,0.004709,0.026364,0.005220,0.018736,0.001384,0.004797,0.005056,0.004358,0.004211,0.006222,240.000000,0.125472,BG-Noise
0.048222,0.003224,2.978503,0.140247,0.155166,0.433786,0.011554,0.075519,-33.378052,1.466382,0.266449,-0.077924,0.070148,0.041092,0.020267,0.006062,0.094794,0.003196,0.043451,0.016338,0.027259,0.005607,0.002972,0.020061,0.003551,0.089024,0.004492,0.037693,0.001457,0.004899,0.005607,0.006906,0.003705,0.033645,0.049522,0.005496,0.274358,0.041522,0.021903,0.381065,0.011988,0.082721,2.187522,0.644038,0.536967,0.428345,0.287309,0.284786,0.266571,0.251061,0.234647,0.240409,0.240522,0.246083,0.240343,0.009627,0.005791,0.024778,0.006231,0.036008,0.008715,0.041719,0.002957,0.009068,0.008766,0.009225,0.006903,0.011403,300.000000,0.108696,BG-Noise
0.070017,0.001372,2.898439,0.153858,0.161758,0.641980,0.008504,0.101476,-33.003854,1.453068,0.300689,-0.046581,0.094199,0.038611,0.018469,0.001584,0.086072,0.019109,0.046380,0.025717,0.037842,0.006816,0.003522,0.061700,0.005545,0.027665,0.005236,0.127270,0.001680,0.006236,0.007902,0.013441,0.003004,0.043820,0.038549,0.002445,0.307025,0.030252,0.020619,0.365283,0.006028,0.084874,2.068540,0.537852,0.464932,0.442538,0.274386,0.266006,0.256555,0.231072,0.234692,0.219075,0.239011,0.213131,0.208689,0.010373,0.005994,0.052232,0.008195,0.025529,0.007851,0.091260,0.002709,0.009293,0.010352,0.012830,0.004645,0.021639,300.000000,0.126144,BG-Noise
0.026722,0.003561,3.027358,0.128341,0.157519,0.272014,0.009400,0.041152,-34.441690,1.396303,0.262442,0.064718,0.093477,0.077246,0.063692,0.042359,0.079278,0.023851,0.036389,0.027958,0.048426,0.003196,0.002236,0.013265,0.002970,0.117690,0.002585,0.026768,0.000699,0.002700,0.003003,0.003992,0.001805,0.037034,0.027841,0.006137,0.224027,0.026453,0.017030,0.230745,0.010599,0.046264,1.529757,0.466075,0.380770,0.332620,0.237421,0.240099,0.217296,0.213410,0.204624,0.196420,0.216138,0.196329,0.179561,0.005616,0.004571,0.014959,0.005419,0.025563,0.004917,0.030161,0.001248,0.004995,0.004579,0.005416,0.003701,0.007527,300.000000,0.125544,BG-Noise
0.031638,0.003923,2.993096,0.129232,0.155374,0.304501,0.010914,0.048304,-33.853769,1.387906,0.233589,0.034914,0.101187,0.064965,0.051561,0.030887,0.112928,0.025034,0.067108,0.020414,0.037250,0.004240,0.002193,0.015695,0.002807,0.106350,0.003010,0.036774,0.001040,0.003018,0.004256,0.005476,0.002978,0.036090,0.033777,0.006823,0.264680,0.030311,0.018475,0.264591,0.012284,0.056960,1.922410,0.510603,0.446923,0.393730,0.257131,0.274729,0.243491,0.221744,0.228331,0.227149,0.223230,0.209928,0.197782,0.006793,0.003939,0.018211,0.005599,0.031406,0.005728,0.039264,0.001973,0.005627,0.006679,0.007507,0.005567,0.009467,200.000000,0.111823,BG-Noise
0.009248,0.003120,3.088053,0.121140,0.162080,0.121800,0.006298,0.011066,-35.928206,1.376921,0.265002,0.254565,0.148763,0.152655,0.092367,0.077361,0.078915,0.055653,0.052074,0.050133,0.056605,0.000982,0.000481,0.009281,0.000755,0.145539,0.000641,0.020745,0.000308,0.000611,0.001192,0.002120,0.000591,0.041448,0.011252,0.005451,0.156639,0.015304,0.011781,0.085985,0.007072,0.015942,0.604751,0.234109,0.194349,0.176270,0.153468,0.159099,0.161082,0.149414,0.157584,0.147859,0.146105,0.145504,0.142009,0.001402,0.000698,0.009576,0.001050,0.012051,0.000889,0.020052,0.000470,0.000936,0.001498,0.002255,0.000958,0.003162,300.000000,0.079080,BG-Noise
0.025572,0.003289,3.019842,0.127479,0.158810,0.269068,0.009539,0.039262,-34.536170,1.408328,0.299734,0.059083,0.107594,0.074120,0.056649,0.049881,0.072948,0.033755,0.037409,0.040877,0.049810,0.003068,0.002256,0.014601,0.002389,0.117490,0.002594,0.030269,0.000804,0.002862,0.003505,0.004376,0.002210,0.037551,0.024225,0.005724,0.225288,0.023662,0.015877,0.210782,0.010370,0.040847,1.379314,0.425472,0.387565,0.344145,0.231705,0.238253,0.216604,0.216127,0.217941,0.199202,0.200771,0.197342,0.184204,0.004983,0.004355,0.017420,0.004198,0.022860,0.004706,0.029883,0.001542,0.005098,0.005102,0.005357,0.004363,0.007144,240.000000,0.125093,BG-Noise
0.015471,0.008794,3.208166,0.096394,0.144470,0.161666,0.010234,0.026138,-34.986805,1.398104,0.317206,0.122174,0.125733,0.090981,0.076800,0.058165,0.077948,0.042736,0.052081,0.051829,0.052546,0.001826,0.001101,0.005884,0.001082,0.141765,0.001741,0.009947,0.000395,0.001452,0.002170,0.002472,0.001294,0.041387,0.017463,0.018804,0.120523,0.023078,0.014652,0.151670,0.017755,0.030556,1.297545,0.417829,0.332779,0.295647,0.220231,0.219257,0.198302,0.191393,0.181804,0.182461,0.185246,0.171738,0.166814,0.003352,0.002624,0.009673,0.002098,0.017671,0.004447,0.014751,0.000775,0.002818,0.004094,0.003996,0.002617,0.004624,300.000000,0.102606,BG-Noise
